Gene	Category	Pvalue	NrOfVariants	ReviewStatusMean	NumberSubmittersMean	SubmitterCategoriesMean
NDUFAF2	C3	0.1731945874792825	3	0.6666666666666666	2.0	1.6666666666666667
NDUFAF3	C4	0.9248860186136062	5	0.39999999999999997	2.0	1.4
NDUFAF1	C4	0.2785986718379625	5	0.39999999999999997	2.0	1.4
FBXL4	C4	0.11703552906251136	10	0.5	2.2	1.7
ECM1	C1	0.005959526470109111	9	0.0	2.0	1.0
COX7B	I1	NA	3	0.0	2.0	1.0
AP4E1	C3	0.6988598802286865	2	0.0	2.0	1.0
GRIK4	C3	0.6850956230347383	1	1.0	2.0	2.0
GRIK2	N1	NA	1	0.0	2.0	1.0
C8B	C4	0.40081416938293435	7	0.14285714285714288	2.142857142857143	1.2857142857142858
MC4R	C4	0.5854232720317165	20	0.30000000000000004	2.2	1.45
DMBX1	N1	NA	1	0.0	2.0	2.0
KCNT1	C2	0.04397850755316168	13	0.6153846153846154	2.6153846153846154	1.9230769230769231
PCLO	N1	NA	1	0.0	2.0	1.0
SUFU	C3	0.4795001221869535	4	0.25	2.0	1.25
RAC2	N1	NA	1	0.0	2.0	1.0
BBS9	C4	0.1508971723344309	18	0.33333333333333337	2.0555555555555554	1.6666666666666665
PHGDH	C2	0.01355905789536438	10	0.1	2.1	1.2
BBS7	C4	0.8062034868688759	9	0.2222222222222222	2.0	1.5555555555555556
BBS5	C4	0.14020034839754547	7	0.42857142857142855	2.0	1.5714285714285714
BBS4	T1	NA	10	0.1	2.2	1.4
ATPAF2	T1	NA	2	0.5	2.0	1.5
COX8A	N1	NA	1	0.0	2.0	1.0
PCYT1A	C4	0.05700805711297774	9	0.8888888888888888	2.888888888888889	2.7777777777777777
MRPS22	C4	0.06304851376296083	5	0.6	2.0	1.6
SYP	N1	NA	1	0.0	2.0	1.0
APRT	C4	0.4219725651987608	10	0.0	2.5	1.0
ARHGEF9	C3	0.06852629693041712	3	0.33333333333333337	2.0	1.3333333333333333
PITPNM3	N1	NA	1	1.0	3.0	3.0
KIT	C2	0.04964722965745616	24	0.041666666666666685	2.0	1.0416666666666667
MICU1	C3	0.43857802608099994	3	0.33333333333333337	2.0	1.3333333333333333
KIZ	C3	0.8272593465627113	3	0.0	2.0	1.0
AHCY	C3	0.27523352407483415	3	0.6666666666666666	2.3333333333333335	2.0
PCNA	N1	NA	1	0.0	2.0	1.0
PRICKLE2	N1	NA	1	1.0	2.0	2.0
NEXN	C4	0.08097899089333371	11	0.8181818181818181	3.090909090909091	2.0
PRICKLE1	C4	0.07164552555663128	6	0.6666666666666666	2.8333333333333335	1.8333333333333333
SLX4	N1	NA	1	1.0	2.0	2.0
MSX1	C3	0.610384513874678	9	0.0	2.0	1.1111111111111112
PCNT	C2	0.020490324917848746	23	0.7391304347826088	2.0434782608695654	1.7826086956521738
PEX16	C3	0.14891467317876583	3	0.33333333333333337	2.0	1.3333333333333333
DYNC1H1	C1	4.012512568873916E-7	34	0.6764705882352939	2.176470588235294	1.7352941176470589
MAP3K1	C3	0.886218350858211	4	0.25	2.0	1.5
PEX19	N1	NA	1	1.0	2.0	2.0
GAD1	N1	NA	1	0.0	2.0	1.0
MRE11A	C4	0.7671703139827027	40	1.0	2.375	1.95
PEX10	C4	0.12623824177071263	11	0.2727272727272727	2.0	1.2727272727272727
KLHL3	C4	0.5549876883143734	29	0.0	2.2758620689655173	2.206896551724138
PEX12	C4	0.880764615259515	9	0.4444444444444444	2.0	1.4444444444444444
APTX	C1	0.006339690109266716	9	0.4444444444444444	2.2222222222222223	1.4444444444444444
PEX13	C3	0.6674364917098825	2	0.0	2.0	1.0
PEX14	N1	NA	1	0.0	2.0	1.0
GRIN1	C2	0.014137387966123516	5	0.8	2.0	1.8
RP1L1	C2	0.023211627411357738	4	0.0	2.0	1.75
RIT1	T1	NA	19	0.6842105263157895	2.7894736842105265	2.210526315789474
KLHL7	C4	0.49967576494355403	6	0.16666666666666669	2.1666666666666665	1.3333333333333333
MAMLD1	C3	1.0	3	0.0	2.0	1.0
PRDM8	N1	NA	1	0.0	2.0	1.0
PRDM6	C3	0.3151057632552121	3	0.0	2.0	1.0
TACO1	N1	NA	1	0.0	2.0	1.0
PRDM5	T1	NA	2	0.0	2.0	1.0
INPPL1	T1	NA	11	0.0	2.272727272727273	1.7272727272727273
TXN2	N1	NA	1	0.0	2.0	1.0
TGM1	C1	1.6421667436983256E-7	40	0.17499999999999996	2.1	1.35
GRIP1	I1	NA	2	0.0	2.0	1.0
ZNF81	N1	NA	1	0.0	2.0	1.0
GNPTAB	C1	0.0024028584127607777	127	0.1338582677165355	2.1968503937007875	1.204724409448819
ENPP1	C2	0.01024224775654714	13	0.0	2.230769230769231	1.0
TGM6	C4	0.37115267179801903	5	0.0	2.2	1.4
RAG2	C2	0.03238628621120465	17	0.4705882352941176	2.0	1.4705882352941178
TGM5	C4	0.40266922843738495	6	0.0	2.1666666666666665	1.0
RAG1	C1	2.7029592172933548E-5	25	0.27999999999999986	2.08	1.3599999999999999
SPINK1	I1	NA	10	0.3	2.8	1.8
MSX2	T1	NA	6	0.0	2.1666666666666665	1.1666666666666667
SPINK5	C3	0.3378033956238168	4	0.25	2.0	1.25
ADAM10	C3	0.5612758361345777	5	0.0	2.0	1.0
SDHC	C1	0.0040001431806946375	11	0.6363636363636364	2.3636363636363638	1.9090909090909092
SDHD	C3	0.06281949257501807	41	0.5121951219512195	2.707317073170732	1.7560975609756098
TTC7A	C4	0.2356799134290377	14	0.0	2.0	1.0
SDHA	C4	0.4756237400909965	23	0.7391304347826088	2.391304347826087	1.9130434782608696
SDHB	C2	0.043690232392905703	67	1.044776119402985	2.671641791044776	2.1044776119402986
DHDDS	N1	NA	1	1.0	3.0	3.0
ADAM17	N1	NA	1	0.0	2.0	1.0
TYROBP	C3	0.6547208460185769	5	0.0	2.4	2.0
POLG2	C2	0.0482362017343706	5	0.6	2.2	1.8
SLFN14	T1	NA	4	0.0	2.0	1.0
RAF1	C1	6.047075188697626E-6	35	1.1142857142857143	2.8285714285714283	1.9714285714285715
CARD14	C4	0.48383985139356833	6	0.0	2.6666666666666665	1.0
CARD11	C2	0.01194872531596447	5	0.0	2.0	1.0
NDUFB11	I1	NA	2	0.0	2.5	2.0
COX15	C2	0.04980256024883345	3	0.33333333333333337	2.0	1.3333333333333333
HTRA1	C4	0.550615759928871	14	0.0	2.642857142857143	1.0
PLD1	N1	NA	1	1.0	2.0	2.0
TIMM50	N1	NA	1	1.0	2.0	2.0
RAI1	C4	0.6588432549492806	10	0.7	2.1	1.8
KCNV2	C4	0.541802935032798	10	0.20000000000000004	2.1	1.3
IL36RN	C4	0.1732664806287465	8	0.125	2.125	1.25
COX14	C3	0.8464505968765906	2	0.5	2.0	1.5
FGF23	C1	0.001064989459364063	8	0.625	2.25	1.875
PIBF1	C3	0.6734165746337668	2	1.0	2.0	2.0
COX10	C4	0.12613961020269004	7	0.14285714285714288	2.0	1.1428571428571428
BHLHA9	C3	0.6547208460185769	4	0.25	3.0	3.0
AUTS2	C3	0.22067136191984704	16	0.4375	2.0	1.875
NUP155	N1	NA	1	0.0	2.0	1.0
CHCHD10	C4	0.8958301016298928	5	0.0	2.6	1.0
USB1	C3	0.9385028847784713	4	0.0	2.0	1.0
AP4B1	C4	0.47889049136808215	4	1.0	2.0	2.0
IGF2R	C3	0.49690584756476797	2	0.0	2.0	1.0
FGF17	T1	NA	2	0.0	2.0	1.0
AHI1	C1	7.286964550101693E-6	46	0.8695652173913042	2.2391304347826084	2.0
FGF16	C3	0.22067136191984704	3	0.0	2.0	1.0
FGF14	N1	NA	2	0.0	2.0	1.0
UVSSA	C3	0.08071625843112074	2	0.0	2.0	1.0
CNTN1	N1	NA	1	0.0	2.0	1.0
MKRN3	C3	0.6015081344405899	4	0.0	2.0	1.0
CNTN2	N1	NA	1	0.0	2.0	1.0
UBA1	T2	NA	3	0.0	3.0	1.0
FGF10	I1	NA	6	0.0	2.0	1.0
ZMYND15	N1	NA	1	0.0	2.0	1.0
TAT	C4	0.31731050786291404	2	0.0	2.0	1.0
TNFAIP3	C4	0.9361862934730594	6	0.0	2.0	1.0
TAZ	C2	0.0322801899241516	26	0.7307692307692307	2.0	1.7692307692307692
LMNB2	N1	NA	1	0.0	2.0	1.0
FYCO1	C3	0.13208684337839882	4	0.0	2.0	1.0
CYP26B1	C3	0.16761443140875842	2	0.0	3.0	1.0
CA1	T1	NA	2	0.0	2.0	1.0
ZIC2	C3	0.37977547484094887	7	0.0	2.5714285714285716	1.1428571428571428
GRM6	C2	0.011218965687776916	2	0.0	3.0	3.0
ZIC3	C3	0.310494434317235	11	0.2727272727272727	2.272727272727273	1.3636363636363635
CA2	C4	0.4553270540585771	5	0.0	2.0	1.0
CA4	C3	0.7362640245259416	3	0.0	2.0	1.0
CA8	T1	NA	2	0.0	2.0	1.0
TTC37	C3	0.21631786947934095	4	0.25	2.0	1.25
MKKS	C4	0.32902099225230874	10	0.2	2.2	1.4
ATP6AP1	C2	0.010952847227497675	4	0.0	2.0	1.0
CAD	N1	NA	1	0.0	2.0	1.0
ATP6AP2	C3	0.08326451666355006	2	0.0	2.0	1.0
SHROOM4	N1	NA	2	0.0	2.0	1.5
ETV6	C4	0.07420341132975494	8	0.125	2.5	2.0
IFT43	N1	NA	1	0.0	3.0	1.0
ACOX1	T1	NA	8	0.375	2.0	1.375
ZMYND10	C4	0.08240586703323072	6	0.0	2.3333333333333335	1.0
ZMYND11	C4	0.5229032345126707	8	0.25	2.0	1.375
SHANK3	C3	0.7962534147376392	8	0.375	2.125	1.625
SHANK2	N1	NA	1	1.0	2.0	2.0
PLEC	C1	0.007437248026451071	17	0.1176470588235294	2.0588235294117645	1.1764705882352942
GALT	C1	6.848805199743957E-6	241	0.2987551867219916	2.4024896265560165	2.074688796680498
SLC3A1	C4	0.24858816939624206	7	0.42857142857142855	2.2857142857142856	1.5714285714285714
CBL	C4	0.6775110106916622	20	0.9	2.3	1.8
NT5C2	C3	0.5637028616507731	5	0.0	2.0	1.0
CBS	C1	1.8086364922398346E-6	52	1.153846153846154	2.673076923076923	2.0384615384615383
TBX22	I1	NA	6	0.0	2.0	1.0
OXCT1	C1	0.006143457291697518	5	0.0	2.0	1.0
POLD1	N1	NA	1	0.0	2.0	1.0
TBX20	C3	0.7962534147376392	3	0.0	2.0	1.0
TIMM8A	I1	NA	10	0.10000000000000002	2.1	1.1
HSD3B7	C4	0.20757844233562384	6	0.16666666666666669	2.0	1.1666666666666667
HSD3B2	C2	0.027856508371668198	8	0.0	2.0	1.0
SUOX	C1	0.003454825687585039	4	0.0	2.0	1.25
TTC19	C4	0.7244980441857847	8	0.625	2.125	1.75
TBX19	C3	0.286422022777859	4	0.0	2.0	1.0
TBX18	C3	0.35522588128727894	3	0.0	2.0	1.0
WARS2	C3	0.6985353583033387	2	1.0	2.0	2.0
GALC	C2	0.03643875357387383	28	0.8928571428571429	2.1785714285714284	1.8571428571428572
CD4	N1	NA	1	0.0	2.0	1.0
GALE	C4	0.09240558643879948	13	0.3076923076923077	2.769230769230769	1.7692307692307692
OPN1SW	C3	0.7433011422257526	3	0.0	2.0	1.0
ERCC3	C3	0.0630226018309149	5	0.2	2.0	1.2
ERCC4	C2	0.013826617013710796	10	0.0	2.1	1.2
COL7A1	C1	8.01581023779363E-13	45	0.2888888888888889	2.0444444444444443	1.3555555555555554
ERCC1	C3	0.9251618682050078	3	0.0	2.3333333333333335	1.0
ERCC2	C1	0.008205946198814873	14	0.1428571428571429	2.2857142857142856	1.3571428571428572
ERCC8	C2	0.0316985359541917	7	0.28571428571428575	2.4285714285714284	1.2857142857142858
ERCC6	C4	0.09208621049601717	24	0.9583333333333333	2.25	1.9166666666666667
TEK	C3	0.3948576586429786	4	0.0	2.5	1.0
GPD1L	C3	0.24267281403960395	4	1.0	4.75	2.5
SLC4A1	C1	3.249977699023576E-4	32	0.125	2.09375	1.21875
SMC3	C2	0.028722871290756125	13	0.5384615384615384	2.230769230769231	1.8461538461538463
SLC4A4	C3	0.10365023803346618	4	0.25	2.0	1.25
GJA1	C1	4.848655162925652E-7	19	0.052631578947368425	2.0526315789473686	1.105263157894737
GJA3	C1	0.004208575490471489	11	0.0	2.0	1.2727272727272727
TFG	C3	0.11534486255165854	3	0.6666666666666667	2.6666666666666665	1.6666666666666667
SCN11A	C2	0.011715964007679047	5	0.0	2.0	1.0
WDR93	N1	NA	1	0.0	2.0	2.0
GJA5	C1	0.0013447856324150242	7	0.0	2.0	1.0
VPS35	C3	0.10779821387740951	2	0.5	2.0	1.5
GJA8	C1	6.593065447887403E-4	12	0.0	2.0833333333333335	1.5
PRKCG	C1	1.2443912078552444E-7	27	0.03703703703703706	2.333333333333333	1.037037037037037
